timestamp,delta1,delta2_5,delta5,ema,price
2025-03-12 12:23:01.694952,-55.863110919999855,-143.46517113999917,-101.19363043999937,82027.02405600566,83013.255
2025-03-12 12:22:02.180170,-53.77185708999991,-142.01236598999904,-100.29071230999955,82025.69464424095,83022.405
2025-03-12 12:21:01.527013,-42.14051397999987,-112.57671996999949,-88.03902325999945,82023.78091875075,82967.275
2025-03-12 12:20:01.932588,-40.25115764999981,-122.33989270999908,-86.41696358999951,82023.66719326055,82999.89
2025-03-12 12:19:02.131642,-43.872948859999894,-116.68513495999915,-91.39228534999944,82023.7024873782,82979.245
2025-03-12 12:18:02.182753,-38.26877469000013,-98.95394962999941,-61.557994499999495,82027.6436638488,83081.09
2025-03-12 12:17:02.169325,-4.469738599999943,-92.98372560999968,-52.10626496000003,82025.988761888,83028.585
2025-03-12 12:16:01.653671,-53.79136276000014,-114.56846468999936,-72.97640068999976,82024.38876188801,82984.57
2025-03-12 12:15:02.206875,-13.145875080000195,-55.221474189999356,-61.637806569999896,82022.05542855467,82938.65
2025-03-12 12:14:02.077601,-20.583312690000128,-93.85790794999943,-67.84664599000001,82023.01229129978,82975.985
2025-03-12 12:13:02.127197,-2.4364915000002156,-49.43882335000018,-48.97909623000049,82019.66719326055,82870.325
2025-03-12 12:12:02.113474,-10.060874900000215,-66.22395217999969,-71.30144055999995,82020.12209522133,82922.445
2025-03-12 12:11:01.890548,2.1355187099999284,-54.266971849999436,-59.30569597999971,82020.22797757428,82846.305
2025-03-12 12:10:02.776078,-21.272775210000162,-110.97235746999954,-83.93156688000005,82022.8593501233,82950.005
2025-03-12 12:09:01.678394,-56.513947880000075,-135.7157072599994,-91.17578220999957,82026.94954620174,83056.735
2025-03-12 12:08:02.450067,-65.13149897999972,-147.5770096599993,-92.68312790999971,82031.63189914291,83181.805
2025-03-12 12:07:01.736431,-67.9408417299997,-134.38780440999903,-77.93627089999961,82034.87895796644,83254.59
2025-03-12 12:06:01.750285,-89.13980814999982,-146.03408889999943,-85.43251658999964,82032.00444816252,83187.935
2025-03-12 12:05:01.934620,-107.04703571999983,-175.9615267299993,-109.2444296199995,82030.07895796644,83105.875
2025-03-12 12:04:01.539708,-56.74044131000022,-147.17620407999974,-102.18098322999992,82027.05150698604,83061.0
2025-03-12 12:03:03.398599,-81.25394049999989,-168.6159796899994,-95.71015266999979,82028.40444816252,83099.99
2025-03-12 12:02:01.863028,-59.80213921999987,-151.65342900999926,-106.6013472299997,82026.02405600566,83018.135
2025-03-12 12:01:01.649110,-47.885040009999784,-139.66261532999908,-94.83503752999957,82025.03189914291,82965.695
2025-03-12 12:00:01.734861,-53.03782754999989,-145.83015139999944,-100.47581103999988,82024.21229129977,82973.635
2025-03-12 11:59:01.845390,-53.79940961999989,-145.6399035299993,-99.84472256999993,81987.40384702059,82971.925
2025-03-12 11:58:01.957215,-51.54616364,-129.52927560999944,-100.28334004000004,81985.72541564803,82939.495
2025-03-12 11:57:02.581269,-57.46593802000004,-101.82920017999948,-102.83199682000009,81983.63914113824,82936.345
2025-03-12 11:56:01.759953,-38.63313999000013,-126.65647070999935,-77.95362720000031,81984.56070976569,82932.015
2025-03-12 11:55:01.711511,-57.65132156999988,-102.51165411999949,-103.02058519000008,81983.56855290294,82913.935
2025-03-12 11:54:01.677710,-53.90626593999991,-97.22471740999947,-97.28679411999991,81982.87051368726,82883.87
2025-03-12 11:53:01.528934,-39.536260320000025,-101.76067939999962,-101.60587601000015,81981.85090584411,82868.235
2025-03-12 11:52:01.598886,-54.60316445999993,-103.55060557999946,-102.61298435999987,81982.04306270686,82869.035
2025-03-12 11:51:01.853426,-33.53065738999993,-94.78383313999959,-84.16168121999993,81981.5058078049,82864.805
2025-03-12 11:50:01.579170,-33.60468021000008,-94.85067301999976,-86.38583189000019,81980.71757251078,82831.415
2025-03-12 11:49:02.088431,-32.61489300999986,-92.02614443999946,-98.74208877000001,81981.81561172647,82866.545
2025-03-12 11:48:01.636044,-26.571027589999943,-89.19432405999953,-89.33773051999998,81981.70188623627,82854.255
2025-03-12 11:47:01.743328,-22.46655615000006,-78.9798257799996,-87.92121208999981,81977.25090584412,82749.76
2025-03-12 11:46:01.584799,-23.80702926999996,-80.26719488999959,-89.16757169999971,81977.93718035393,82762.665
2025-03-12 11:45:02.142481,-42.892709330000116,-86.43719733999959,-95.10018980999996,81979.70188623627,82817.485
2025-03-12 11:44:01.842319,-35.45535665,-97.98672209999958,-97.9223696900001,81981.65874898137,82861.615
2025-03-12 11:43:02.093962,-33.22300908000021,-92.72692821000032,-95.85470402000004,81981.7763960402,82859.47
2025-03-12 11:42:01.941058,-39.73170809000018,-104.60080455000039,-94.68136292999952,81980.85482741274,82850.785
2025-03-12 11:41:02.174118,-18.095231680000026,-81.21715186000023,-81.12485345999994,81981.29404309901,82813.985
2025-03-12 11:40:02.242614,-40.620162600000185,-99.3307778600005,-86.92584902999971,81980.5058078049,82806.195
2025-03-12 11:39:01.585970,-36.16276312000018,-100.34508123000037,-88.38709220999954,81979.91365094215,82810.295
2025-03-12 11:38:01.527583,-37.476135040000116,-113.69594525000045,-82.55061859999984,81984.25482741275,82924.825
2025-03-12 11:37:02.066125,-28.08504788000016,-75.07278521000023,-82.88883998999933,81977.68227839314,82754.42
2025-03-12 11:36:01.651724,-45.00705806000019,-83.49942565000038,-91.45476662999937,81978.79992545195,82782.015
2025-03-12 11:35:02.267213,-65.78794781000013,-110.89683398000025,-111.03114124999934,81982.65874898137,82892.715
2025-03-12 11:34:01.613373,-60.52665896000002,-98.98782180000018,-99.8122707199999,81983.56070976569,82922.56
2025-03-12 11:33:01.645854,-75.62634493999991,-106.61059247999938,-107.3071239599999,81983.12541564804,82913.025
2025-03-12 11:32:01.656439,-31.053250980000087,-94.9113270499997,-83.42327718000013,81980.15678819705,82810.15
2025-03-12 11:31:02.409843,-29.64331402999983,-76.35409868999935,-79.56308239999964,81975.35678819705,82710.755
2025-03-12 11:30:02.080922,-33.84704304000013,-71.37123508000025,-84.14660476999973,81976.05874898138,82726.125
2025-03-12 11:29:01.679856,-36.697941809999975,-78.53018068999975,-81.46234864999974,81976.45482741274,82705.635
2025-03-12 11:28:01.903843,-35.57309540999992,-75.28474414999974,-77.16578941999978,81974.12149407942,82678.6
2025-03-12 11:27:01.940072,-19.251686890000002,-66.76037776999951,-61.2204949099999,81973.28619996176,82664.545
2025-03-12 11:26:01.681137,-39.69921769999996,-80.93141692999936,-84.01341055999961,81976.36463133432,82661.545
2025-03-12 11:25:01.934388,-28.02832110999981,-74.96211848999926,-69.10064105999976,81973.41169015784,82673.075
2025-03-12 11:24:01.536872,-29.353860089999955,-62.82302882999937,-57.271447919999844,81973.45090584412,82656.77
2025-03-12 11:23:02.265106,-20.152992379999887,-57.91293090999946,-68.54986283999989,81974.12933721667,82676.205
2025-03-12 11:22:01.665441,-28.77519653999974,-62.22484005999931,-57.648235589999786,81973.75286662843,82657.355
2025-03-12 11:21:01.774277,-38.91723499999969,-72.84405266999909,-66.90120432999953,81973.14502349118,82648.265
2025-03-12 11:20:02.775248,-43.010376349999774,-72.58090979999929,-75.01754628999964,81975.18031760883,82705.65
2025-03-12 11:19:01.657228,-31.83098334999984,-64.00565350999943,-57.64417823999969,81972.91365094215,82598.955
2025-03-12 11:18:01.677866,-27.571190589999873,-70.1658479799994,-56.14963852999938,81967.81561172647,82515.52
2025-03-12 11:17:01.603938,-29.936151979999863,-68.45136499999938,-59.39702871999884,81966.79600388333,82489.46
2025-03-12 11:16:02.022197,-28.45055483999988,-67.78196725999936,-56.37799127999938,81968.60384702058,82539.52
2025-03-12 11:15:01.569411,-17.79551976999994,-58.42141711999949,-46.888522049999494,81969.55678819706,82576.145
2025-03-12 11:14:01.701163,-18.188620139999955,-58.44766471999935,-51.63539239999909,81969.09404309902,82588.995
2025-03-12 11:13:02.269583,-20.382220959999984,-56.02500422999941,-44.03900732999938,81970.05090584411,82556.405
2025-03-12 11:12:02.033843,-18.853648040000024,-55.62658892999943,-45.945004629999175,81968.16855290293,82522.795
2025-03-12 11:11:01.990218,-23.579420559999846,-55.15851609999936,-48.54394890999913,81966.4901215304,82511.395
2025-03-12 11:10:02.163910,-9.978467129999927,-47.09794677999977,-38.2380208099994,81966.85874898137,82488.56
2025-03-12 11:09:01.692025,-35.5350656899999,-66.69249006999942,-57.64678493999929,81967.06267055,82502.73
2025-03-12 11:08:01.671361,-25.787170579999867,-63.40585786999944,-53.258925229998795,81966.0352195696,82454.125
2025-03-12 11:07:01.533039,-25.682316720000017,-56.33160774999962,-52.30769058999931,81964.43521956961,82425.015
2025-03-12 11:06:01.730074,-33.90071734000006,-71.70212371000005,-62.7048755299989,81966.73718035391,82495.965
2025-03-12 11:05:02.207036,-27.219041850000238,-67.37798787000025,-56.26912695999931,81971.58816074608,82595.645
2025-03-12 11:04:01.893622,-36.594766009999745,-76.58895512999919,-64.25777985999912,81969.44698427549,82558.06
2025-03-12 11:03:01.617044,-33.26687084999972,-74.19497680999913,-60.18037037999909,81968.78423917745,82552.265
2025-03-12 11:02:01.962883,-40.657193479999705,-78.02405161999914,-67.02218156999862,81967.89404309902,82545.865
2025-03-12 11:01:01.809376,-33.29206277999981,-63.72204136999923,-53.75569745999866,81968.0195332951,82511.705
2025-03-12 11:00:02.194919,-25.687224229999913,-55.00603872999915,-45.38822995999925,81966.9058078049,82462.155
2025-03-12 10:59:01.925378,-32.17357060999976,-54.609492789999166,-55.7330294599991,81945.74893827639,82425.84
2025-03-12 10:58:01.787233,-15.609348079999847,-44.48409986999917,-34.76391973999927,81946.17638925678,82426.155
2025-03-12 10:57:01.585756,-34.80369588999969,-60.990598309998944,-51.86820198999902,81948.61168337443,82508.92
2025-03-12 10:56:01.589760,-26.96554189999975,-56.68738656999909,-46.88946879999918,81946.66266376658,82452.025
2025-03-12 10:55:01.767720,-35.8260692099997,-61.134248119999,-49.23065899999892,81947.75285984502,82484.57
2025-03-12 10:54:01.652175,-30.292824969999685,-60.14879546999893,-50.10792578999906,81947.03129121756,82456.675
2025-03-12 10:53:01.867315,-29.360306159999823,-50.59956698999923,-46.81908024999916,81945.87442847247,82470.745
2025-03-12 10:52:01.590204,-35.182603819999855,-53.94806930999948,-57.38935034999923,81945.7646245509,82447.475
2025-03-12 10:51:01.540494,-21.951262249999843,-44.93668232999923,-39.895595729999116,81945.16854611953,82428.785
2025-03-12 10:50:01.655492,-42.87928584999986,-51.69398559999922,-47.904554319999136,81945.88227160972,82405.185
2025-03-12 10:49:01.747233,-59.88275492999992,-67.68847957999913,-63.34662337999907,81944.1371735705,82429.4
2025-03-12 10:48:02.007422,-42.79011095999988,-56.980849999999236,-44.62921047999936,81943.39599709991,82362.695
2025-03-12 10:47:02.365459,-40.56565635999982,-52.540030979999244,-63.96713800999839,81943.3803108254,82376.585
2025-03-12 10:46:02.648465,-50.35824884999994,-60.26601581999907,-48.99795855999918,81943.05874219796,82369.72
2025-03-12 10:45:02.540100,-17.011111920000076,-40.46746489999936,-24.38206479999951,81939.25482062933,82194.555
2025-03-12 10:44:01.862171,-35.30389453000009,-52.430794009998834,-36.091771589999325,81934.83913435481,82153.535
2025-03-12 10:43:01.608489,-24.65680920000014,-47.33084267999908,-29.96510093999956,81936.37246768815,82198.285
2025-03-12 10:42:01.947507,-25.170947590000054,-43.72782224999898,-26.634084719999407,81935.81952651168,82170.965
2025-03-12 10:41:01.630138,-18.032228280000055,-40.16058836999912,-19.44618209999959,81936.2077618058,82178.285
2025-03-12 10:40:02.067605,-16.646061819999943,-39.841659499999196,-23.99278086999948,81938.3803108254,82245.185
2025-03-12 10:39:01.718971,-18.79534137000016,-41.03402388999905,-23.553100979999442,81936.42736964894,82184.525
2025-03-12 10:38:01.867768,-0.8364756099999795,-18.046618119999096,-1.5466922999994495,81934.19991866854,82131.595
2025-03-12 10:37:01.733102,-25.811707040000016,-31.22108789999882,-26.28986797999943,81933.69011474698,82109.985
2025-03-12 10:36:01.608321,-16.306462830000072,-39.81706290999918,-22.317785639999613,81936.04697749208,82179.98
2025-03-12 10:35:02.026306,-12.916886690000013,-20.327952589998915,-15.311287189999518,81933.40776180579,82137.935
2025-03-12 10:34:01.602086,-4.15164569000018,-21.79440831999915,-6.657836909999901,81934.40776180579,82165.105
2025-03-12 10:33:01.735828,-4.5412142900000845,-14.456494959999048,13.760985680000147,81932.6940363156,82111.25
2025-03-12 10:32:01.557634,6.860965870000001,-21.67491398999897,-1.8755419199992502,81936.36854611953,82174.69
2025-03-12 10:31:03.404135,14.82277690999996,-26.524495849999056,-6.1759056499995495,81934.92933043325,82164.585
2025-03-12 10:30:01.677634,-6.778325600000102,-32.9673731799993,-17.775669869999604,81938.90187945285,82288.2
2025-03-12 10:29:02.768826,32.575576059999975,-7.355331709999177,7.6940186100000005,81939.14109513913,82257.995
2025-03-12 10:28:01.657330,23.72136913999998,-11.894436879999091,1.3719844299998272,81937.0077618058,82201.1
2025-03-12 10:27:02.127770,13.08000983000008,-26.234122179999048,-9.811480019999522,81938.17246768816,82276.715
2025-03-12 10:26:01.511666,12.362000470000083,-16.249875929999405,-5.941380119999394,81943.8077618058,82359.195
2025-03-12 10:25:02.188251,11.462100849999871,-11.885205499999586,-8.647585229999436,81943.10580102148,82403.175
2025-03-12 10:24:01.825361,10.758486089999991,-11.82006938999956,-8.339929159999258,81945.38423239403,82428.805
2025-03-12 10:23:01.751270,18.60230887,-11.187836079999443,-9.145797859999504,81946.80384023717,82501.145
2025-03-12 10:22:01.659579,-4.421877979999778,-28.469012199999355,-23.634517189999087,81947.3803108254,82478.515
2025-03-12 10:21:01.546000,16.313014310000113,-6.034110359999488,-4.72310397999928,81945.67442847247,82436.665
2025-03-12 10:20:01.618440,13.38429225000013,-8.933362629999408,-7.07520340999929,81945.07835004109,82414.515
2025-03-12 10:19:01.652870,15.753449670000037,-8.800995599999567,-5.364669719999483,81945.84697749207,82439.515
2025-03-12 10:18:01.645229,4.672259610000282,-17.237471209999057,-15.352793529999133,81944.52148729599,82396.675
2025-03-12 10:17:01.892953,5.324505870000223,-17.322407329999237,-16.16104431999929,81945.8783500411,82435.355
2025-03-12 10:16:02.907218,17.36859914000013,-13.083658829999365,-6.007059159999358,81947.84697749207,82519.875
2025-03-12 10:15:02.047123,-2.5945365499997592,-32.554170329999096,-25.59352656999937,81948.55678141364,82501.215
2025-03-12 10:14:02.469637,12.02117988000029,-19.310502979999256,1.7607247800006576,81948.53325200187,82519.785
2025-03-12 10:13:01.596790,7.676238620000078,-22.151477309999365,-14.74540453999964,81947.2234480803,82468.825
2025-03-12 10:12:01.602405,-0.9746797099999185,-19.16035025999966,-36.63163984999966,81947.26658533521,82463.805
2025-03-12 10:11:02.141428,18.517594510000066,-11.616325079999513,-18.540360219999798,81946.35678141363,82451.955
2025-03-12 10:10:01.579519,10.82146899999998,-11.914853479999465,-24.0187495699995,81943.54109513912,82380.33
2025-03-12 10:09:01.588188,3.5225733600002798,-26.930488119999126,-33.83932415999931,81946.42736964894,82463.585
2025-03-12 10:08:01.849867,20.604300529999932,-10.210351779999769,-16.504440390000298,81946.9097225901,82470.185
2025-03-12 10:07:02.181495,18.956556559999996,-26.605073339999677,-32.35018482999993,81948.11756572737,82505.665
2025-03-12 10:06:02.451774,26.278331030000032,-20.029103769999494,-27.161388419999582,81948.50972259011,82483.225
2025-03-12 10:05:01.597968,3.9445887199999277,-28.082409759999422,-33.78302480999963,81949.92933043325,82545.255
2025-03-12 10:04:01.823491,4.405741930000119,-32.187665569999496,-38.88284429999953,81953.79991866855,82650.005
2025-03-12 10:03:02.692542,7.398568300000079,-28.769157729999534,-47.55349522999978,81956.98423239404,82740.945
2025-03-12 10:02:01.550830,15.043038730000035,-21.06861713999976,-30.728819120000082,81954.81168337443,82667.205
2025-03-12 10:01:01.540689,-3.4018318499999793,-40.13025131999984,-49.830496420000316,81954.25482062933,82665.785
2025-03-12 10:00:02.293724,4.643433340000172,-30.669625009999294,-40.70820236999964,81954.48227160971,82652.63
2025-03-12 09:59:01.956496,2.464279150000152,-29.61314730999939,-46.26645906999954,81929.69225689901,82657.075
2025-03-12 09:58:01.882000,-7.273695369999928,-23.263250199999334,-32.97428583999965,81928.66872748725,82617.585
2025-03-12 09:57:01.880469,10.47432728000021,-10.579528559999574,-20.07505669999972,81929.75500199705,82652.605
2025-03-12 09:56:01.667017,15.180677830000036,-2.3688245199999187,-7.865576980000185,81928.45304121274,82599.41
2025-03-12 09:55:01.596743,23.6008799399998,-5.6184301700000105,-11.397891940000193,81926.88049219313,82561.43
2025-03-12 09:54:01.576454,-1.8515884800000322,-32.91515073999989,-38.594582250000144,81924.68049219313,82515.2
2025-03-12 09:53:01.698858,15.632090059999939,-27.487981529999757,-32.90492099000022,81922.95500199705,82441.895
2025-03-12 09:52:01.796083,-14.073384510000068,-44.1427643199998,-43.20037041000006,81924.55108042843,82495.655
2025-03-12 09:51:01.945616,-10.50776701000001,-44.201223009999865,-49.66975971999983,81928.73539415392,82618.115
